LOCATION,EVENT_SUCCESS_Mean,EVENT_DURATION_Mean,Record_Count,Region,District,LONGITUDE,LATITUDE
"Cell_S1762",1.000000,33.000000,1,"West","Dover Buona Vista Singapore Polytechnic",103.789735,1.296221
"Cell_S1763",1.000000,156.285714,28,"West","Clementi",103.762500,1.293059
"Cell_S1764",1.000000,47.333333,3,"West","Clementi",103.761602,1.328376
"Cell_S1765",1.000000,27.000000,1,"West","Pasir Panjang Alexandra Kent Ridge",103.800998,1.272301
"Cell_S1766",0.666667,190.333333,3,"West","Dover Buona Vista Singapore Polytechnic",103.789869,1.303738
"Cell_S1767",1.000000,147.000000,1,"West","Pasir Panjang Alexandra Kent Ridge",103.800998,1.272301
"Cell_S1768",1.000000,76.000000,6,"West","Pasir Panjang Alexandra Kent Ridge",103.799869,1.274196
"Cell_S1769",1.000000,32.500000,2,"West","Dover Buona Vista Singapore Polytechnic",103.783527,1.306687
"Cell_S177",0.968750,107.906250,32,"Central","Marina South",103.852592,1.282253
"Cell_S1770",1.000000,69.000000,3,"West","Pasir Panjang Alexandra Kent Ridge",103.770069,1.293256
"Cell_S1771",1.000000,28.000000,1,"West","Clementi",103.762525,1.314559
"Cell_S1772",0.857143,88.714286,7,"West","Clementi",103.751991,1.310324
"Cell_S1773",1.000000,124.538462,13,"West","Pasir Panjang Alexandra Kent Ridge",103.782584,1.296106
"Cell_S1774",1.000000,141.200000,10,"West","Pasir Panjang Alexandra Kent Ridge",103.770853,1.299119
"Cell_S1775",1.000000,42.333333,6,"West","Pasir Panjang Alexandra Kent Ridge",103.770853,1.299119
"Cell_S1776",1.000000,120.818182,11,"West","Pasir Panjang Alexandra Kent Ridge",103.785235,1.291754
"Cell_S1777",1.000000,78.500000,6,"West","Dover Buona Vista Singapore Polytechnic",103.789869,1.303738
"Cell_S1778",1.000000,69.454545,11,"West","Clementi",103.750211,1.312031
"Cell_S1779",1.000000,84.680000,25,"West","Clementi",103.762236,1.321499
"Cell_S178",1.000000,30.000000,2,"Central","Robinson Road Shenton Way",103.848408,1.276993
"Cell_S1780",1.000000,46.000000,2,"West","Clementi",103.762236,1.321499
"Cell_S1781",1.000000,26.000000,3,"West","Dover Buona Vista Singapore Polytechnic",103.780875,1.299653
"Cell_S1782",1.000000,14.000000,1,"West","Dover Buona Vista Singapore Polytechnic",103.789869,1.303738
"Cell_S1783",1.000000,134.555556,18,"West","Clementi",103.765773,1.298470
"Cell_S1784",1.000000,211.545455,11,"West","Pasir Panjang Alexandra Kent Ridge",103.799277,1.276147
"Cell_S1785",1.000000,110.400000,5,"West","Clementi",103.769080,1.317703
"Cell_S1786",1.000000,77.333333,3,"West","Pasir Panjang Alexandra Kent Ridge",103.777455,1.291773
"Cell_S1787",1.000000,115.166667,6,"West","Dover Buona Vista Singapore Polytechnic",103.791215,1.303943
"Cell_S1788",1.000000,34.666667,3,"West","Pasir Panjang Alexandra Kent Ridge",103.776715,1.294039
"Cell_S1789",1.000000,87.250000,4,"West","Clementi",103.765261,1.304763
"Cell_S179",1.000000,78.416667,12,"Central","Marina Esplanade Suntec",103.863922,1.291282
"Cell_S1790",0.875000,65.250000,8,"West","Pasir Panjang Alexandra Kent Ridge",103.799869,1.274196
"Cell_S1791",1.000000,68.818182,11,"West","Dover Buona Vista Singapore Polytechnic",103.781566,1.308118
"Cell_S1792",0.914286,136.628571,35,"West","Clementi",103.770665,1.310919
"Cell_S1793",1.000000,13.000000,1,"West","Clementi",103.770893,1.318018
"Cell_S1794",1.000000,55.750000,4,"West","Pasir Panjang Alexandra Kent Ridge",103.783514,1.285880
